member_name,model_name,dataset_name,composite_score,fidelity,utility,diversity,privacy,consistency,stability
Jay,cwgangp,adult,0.7291,0.7022,0.7109,0.558,0.9859,0.5348,0.957
Jay,cwgangp,bank,0.7769,0.7391,0.8616,0.5738,0.9549,0.4074,0.984
Jay,cwgangp,car,0.566,0.4633,0.7673,0.4797,0.8755,0.0043,0.9375
Jay,cwgangp,card,0.6686,0.8937,0.8461,0.667,0.0,0.3333,0.98
Jay,cwgangp,covtype,0.6045,0.9584,0.598,0.5467,0.0,0.512,0.6045
Jay,flowvae,adult,0.7854,0.8885,0.9052,0.7096,0.6422,0.3037,0.9778
Jay,flowvae,bank,0.8333,0.9242,0.9468,0.7718,0.6856,0.4205,0.984
Jay,flowvae,car,0.3923,0.7173,0.0,0.9287,0.4177,0.0916,0.965
Jay,flowvae,card,0.5554,0.9828,0.0,0.747,0.9014,0.5078,0.9805
Jay,flowvae,covtype,0.4443,0.6,0.8781,0.9435,0.6,0.4546,0.0008
Jay,pacgan,adult,0.7632,0.7258,0.7579,0.6687,0.9858,0.5451,0.9515
Jay,pacgan,bank,0.813,0.7536,0.8893,0.651,0.9434,0.5932,0.9483
Jay,pacgan,car,0.5971,0.4569,0.7783,0.4395,0.7718,0.019,0.978
Jay,pacgan,card,0.6309,0.9013,0.8254,0.6742,0.0,0.0,0.986
Jay,pacgan,covtype,0.6067,0.8827,0.6219,0.6718,0.0,0.521,0.9825
sara,flowvae,adult,0.8032,0.8865,0.9078,0.7388,0.6577,0.4287,0.9685
sara,flowvae,bank,0.8294,0.9242,0.9369,0.7724,0.6848,0.4179,0.9745
sara,flowvae,car,0.4036,0.7333,0.0,0.929,0.4216,0.153,0.976
sara,flowvae,card,0.9105,0.9821,0.9902,0.7371,0.9066,0.5965,0.982
sara,flowvae,covtype,0.8838,0.9859,0.886,0.9484,0.8588,0.5422,0.986
sara,tabfairgdt,adult,0.8872,0.9566,0.9339,0.9283,0.7542,0.6573,0.99
sara,tabfairgdt,bank,0.9362,0.997,0.9776,0.9611,0.756,0.8719,0.961
sara,tabfairgdt,car,0.8481,0.9863,0.8865,0.9987,0.4438,0.7522,0.992
sara,tabfairgdt,card,0.5224,0.9382,0.0,0.5689,0.9857,0.3333,0.9955
sara,tabfairgdt,covtype,0.8662,0.9957,0.8861,0.6691,0.7802,0.7334,0.997
sara,tabkde,adult,0.875,0.9899,0.8037,0.9663,0.9691,0.5558,0.974
sara,tabkde,bank,0.8844,0.9897,0.8667,0.955,0.9089,0.5291,0.978
sara,tabkde,car,0.7696,0.9832,0.7629,0.9987,0.4665,0.3741,0.991
sara,tabkde,card,0.9001,0.994,0.9017,0.9597,0.9895,0.4311,0.9695
sara,tabkde,covtype,0.7926,0.9893,0.616,0.6702,0.9849,0.6518,0.995
trang,codi,adult,0.8537,0.8831,0.9554,0.7996,0.7738,0.5363,0.977
trang,codi,bank,0.8517,0.9139,0.9499,0.8136,0.7874,0.4253,0.9745
trang,codi,car,0.7072,0.8441,0.7968,0.9738,0.3985,0.1107,0.981
trang,codi,card,0.9231,0.9087,0.9963,0.9212,0.9832,0.593,0.966
trang,codi,covtype,0.6168,0.7599,0.6891,0.8922,0.0,0.4718,0.9855
trang,ctgan,adult,0.8237,0.9575,0.7792,0.6982,0.9668,0.4778,0.995
trang,ctgan,bank,0.8228,0.9588,0.7934,0.7164,0.8537,0.5675,0.992
trang,ctgan,car,0.7137,0.8069,0.7553,0.881,0.466,0.4627,0.9865
trang,ctgan,card,0.5479,0.9717,0.0,0.5884,0.9832,0.4876,0.9985
trang,ctgan,covtype,0.5413,0.9594,0.0,0.5081,0.9988,0.508,1.0
trang,tabddpm,adult,0.6841,0.6745,0.7759,0.3432,0.9932,0.1106,0.9918
trang,tabddpm,bank,0.6981,0.7366,0.7371,0.498,0.983,0.182,0.9718
trang,tabddpm,car,0.5696,0.412,0.7927,0.2911,0.3333,0.0003,1.0
trang,tabddpm,card,0.6895,0.8914,0.5275,0.5352,0.9795,0.3167,0.9985
trang,tabddpm,covtype,0.5803,0.848,0.3111,0.6034,0.9977,0.0,0.9875
trang,tabfairgdt,adult,0.8753,0.9574,0.9043,0.8386,0.8099,0.6454,0.9915
trang,tabfairgdt,bank,0.9117,0.9869,0.9543,0.8741,0.786,0.7594,0.9935
